query_id,query,intent,difficulty,ground_truth
q258,Design hallucination in RAG (intermediate),design,intermediate,Use hallucination to improve retrieval by aligning representations and leveraging metadata.
q259,Debug prompting in RAG (advanced),debug,advanced,Use prompting to improve retrieval by aligning representations and leveraging metadata.
q260,Compare retrieval in RAG (beginner),compare,beginner,Use retrieval to improve retrieval by aligning representations and leveraging metadata.
q261,Optimize reranker in RAG (advanced),optimize,advanced,Use reranker to improve retrieval by aligning representations and leveraging metadata.
q262,Design mpnet in RAG (advanced),design,advanced,Use mpnet to improve retrieval by aligning representations and leveraging metadata.
q263,Design retrieval in RAG (advanced),design,advanced,Use retrieval to improve retrieval by aligning representations and leveraging metadata.
q264,Compare retrieval in RAG (advanced),compare,advanced,Use retrieval to improve retrieval by aligning representations and leveraging metadata.
q265,Optimize latency in RAG (intermediate),optimize,intermediate,Use latency to improve retrieval by aligning representations and leveraging metadata.
q266,Optimize retrieval in RAG (intermediate),optimize,intermediate,Use retrieval to improve retrieval by aligning representations and leveraging metadata.
q267,Compare similarity in RAG (advanced),compare,advanced,Use similarity to improve retrieval by aligning representations and leveraging metadata.
q268,Compare bert in RAG (intermediate),compare,intermediate,Use bert to improve retrieval by aligning representations and leveraging metadata.
q269,Compare mpnet in RAG (intermediate),compare,intermediate,Use mpnet to improve retrieval by aligning representations and leveraging metadata.
q270,Debug throughput in RAG (beginner),debug,beginner,Use throughput to improve retrieval by aligning representations and leveraging metadata.
q271,Optimize mpnet in RAG (advanced),optimize,advanced,Use mpnet to improve retrieval by aligning representations and leveraging metadata.
q272,Optimize evaluation in RAG (beginner),optimize,beginner,Use evaluation to improve retrieval by aligning representations and leveraging metadata.
q273,Howto hallucination in RAG (advanced),howto,advanced,Use hallucination to improve retrieval by aligning representations and leveraging metadata.
q274,Debug throughput in RAG (intermediate),debug,intermediate,Use throughput to improve retrieval by aligning representations and leveraging metadata.
q275,Optimize latency in RAG (intermediate),optimize,intermediate,Use latency to improve retrieval by aligning representations and leveraging metadata.
q276,Howto throughput in RAG (advanced),howto,advanced,Use throughput to improve retrieval by aligning representations and leveraging metadata.
q277,Optimize hallucination in RAG (beginner),optimize,beginner,Use hallucination to improve retrieval by aligning representations and leveraging metadata.
q278,Compare evaluation in RAG (advanced),compare,advanced,Use evaluation to improve retrieval by aligning representations and leveraging metadata.
q279,Compare evaluation in RAG (intermediate),compare,intermediate,Use evaluation to improve retrieval by aligning representations and leveraging metadata.
q280,Optimize retrieval in RAG (beginner),optimize,beginner,Use retrieval to improve retrieval by aligning representations and leveraging metadata.
q281,Debug fastapi in RAG (beginner),debug,beginner,Use fastapi to improve retrieval by aligning representations and leveraging metadata.
q282,Howto latency in RAG (intermediate),howto,intermediate,Use latency to improve retrieval by aligning representations and leveraging metadata.
q283,Howto faiss in RAG (beginner),howto,beginner,Use faiss to improve retrieval by aligning representations and leveraging metadata.
q284,Debug metadata in RAG (advanced),debug,advanced,Use metadata to improve retrieval by aligning representations and leveraging metadata.
q285,Debug evaluation in RAG (intermediate),debug,intermediate,Use evaluation to improve retrieval by aligning representations and leveraging metadata.
q286,Compare similarity in RAG (advanced),compare,advanced,Use similarity to improve retrieval by aligning representations and leveraging metadata.
q287,Optimize bm25 in RAG (beginner),optimize,beginner,Use bm25 to improve retrieval by aligning representations and leveraging metadata.
q288,Debug mpnet in RAG (intermediate),debug,intermediate,Use mpnet to improve retrieval by aligning representations and leveraging metadata.
q289,Design prompting in RAG (beginner),design,beginner,Use prompting to improve retrieval by aligning representations and leveraging metadata.
q290,Design streamlit in RAG (intermediate),design,intermediate,Use streamlit to improve retrieval by aligning representations and leveraging metadata.
q291,Howto evaluation in RAG (beginner),howto,beginner,Use evaluation to improve retrieval by aligning representations and leveraging metadata.
q292,Debug faiss in RAG (advanced),debug,advanced,Use faiss to improve retrieval by aligning representations and leveraging metadata.
q293,Debug prompting in RAG (beginner),debug,beginner,Use prompting to improve retrieval by aligning representations and leveraging metadata.
q294,Howto streamlit in RAG (intermediate),howto,intermediate,Use streamlit to improve retrieval by aligning representations and leveraging metadata.
q295,Design hallucination in RAG (advanced),design,advanced,Use hallucination to improve retrieval by aligning representations and leveraging metadata.
q296,Optimize vector db in RAG (intermediate),optimize,intermediate,Use vector db to improve retrieval by aligning representations and leveraging metadata.
q297,Debug vector db in RAG (intermediate),debug,intermediate,Use vector db to improve retrieval by aligning representations and leveraging metadata.
q298,Optimize vector db in RAG (beginner),optimize,beginner,Use vector db to improve retrieval by aligning representations and leveraging metadata.
q299,Optimize embeddings in RAG (intermediate),optimize,intermediate,Use embeddings to improve retrieval by aligning representations and leveraging metadata.
